Country,Rank,Vaccinations per hundred,Total vaccinations,Daily vaccinations per million,Vaccines used
Romania,65.0,18.93,3642345.0,2844.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Mongolia,66.0,18.82,616906.0,10482.0,Oxford/AstraZeneca
Liechtenstein,67.0,18.13,6914.0,3645.0,"Moderna, Pfizer/BioNTech"
Saudi Arabia,68.0,18.04,6281357.0,5280.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Greenland,69.0,16.83,9555.0,1990.0,Pfizer/BioNTech
Netherlands,70.0,16.71,2863986.0,4047.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Croatia,71.0,14.22,583931.0,2199.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Kuwait,72.0,14.16,604861.0,2730.0,Pfizer/BioNTech
Saint Lucia,73.0,12.67,23257.0,474.0,Oxford/AstraZeneca
Brazil,74.0,12.58,26741261.0,3811.0,"Oxford/AstraZeneca, Sinovac"
Argentina,75.0,11.76,5313612.0,3411.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
China,76.0,11.63,167343000.0,2717.0,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
Panama,77.0,11.56,498584.0,3792.0,Pfizer/BioNTech
Azerbaijan,78.0,11.38,1153549.0,3223.0,Sinovac
Hong Kong,79.0,11.13,834773.0,5311.0,"Pfizer/BioNTech, Sinovac"
Saint Vincent and the Grenadines,80.0,10.93,12124.0,964.0,Oxford/AstraZeneca
Macao,81.0,10.38,67431.0,2526.0,"Pfizer/BioNTech, Sinopharm/Beijing"
Dominican Republic,82.0,10.15,1101528.0,3554.0,"Oxford/AstraZeneca, Sinovac"
Costa Rica,83.0,9.91,504930.0,2959.0,Pfizer/BioNTech
Russia,84.0,9.67,14108341.0,1946.0,"EpiVacCorona, Sputnik V"
Latvia,85.0,9.38,177010.0,2227.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Albania,86.0,8.92,256810.0,3540.0,"Pfizer/BioNTech, Sinovac"
Mexico,87.0,8.84,11395137.0,2614.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
Grenada,88.0,8.73,9821.0,1200.0,Oxford/AstraZeneca
Bulgaria,89.0,8.24,572662.0,1420.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Cambodia,90.0,7.7,1286585.0,3901.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac"
India,91.0,7.57,104528565.0,2632.0,"Covaxin, Oxford/AstraZeneca"
Belize,92.0,6.88,27353.0,1705.0,Oxford/AstraZeneca
Montenegro,93.0,6.76,42450.0,2898.0,"Sinopharm/Beijing, Sputnik V"
Colombia,94.0,5.98,3041349.0,1854.0,"Pfizer/BioNTech, Sinovac"
Suriname,95.0,5.56,32614.0,1181.0,Oxford/AstraZeneca
Indonesia,96.0,5.51,15081949.0,1364.0,"Oxford/AstraZeneca, Sinovac"
Nepal,97.0,5.49,1600000.0,1523.0,Oxford/AstraZeneca
Jordan,98.0,5.14,524533.0,1413.0,"Pfizer/BioNTech, Sinopharm/Beijing"
Guyana,99.0,5.14,40468.0,2449.0,Oxford/AstraZeneca
Australia,100.0,4.57,1166568.0,1812.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Sao Tome and Principe,101.0,4.44,9724.0,3755.0,Oxford/AstraZeneca
Sri Lanka,102.0,4.32,925242.0,5.0,Oxford/AstraZeneca
Lebanon,103.0,4.01,273587.0,999.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
